Author,Title,Year,Source title,Abstract,Author keywords,Correspondence address,Country,Publisher,Document type,Source,AI technologies,Key technology clusters,AI capabilities,MBSE phases,MBSE activities,MBSE tasks,Application area
"Schleifer, S.; Lungu, A.; Kruse, B.; van Putten, S.; Goetz, S.; Wartzack, S.",Use case identification of natural language system requirements with graph-based clustering,2025,Design Science,"Due to the ever-increasing complexity of technical products, the quantity of system requirements, which are typically expressed in natural language, is inevitably rising. Model-based formalization through the application of Model-based Systems Engineering is a common solution to cope with rising complexity. Thereby, grouping requirements to use cases forms the first step towards model-based requirements and allows to improve the understanding of the system. To support this manual and subjective task, automation by artificial intelligence and methods of natural language processing are needed. This contribution proposes a novel pipeline to derive use cases from natural language requirements by considering incomplete manual mappings and the possibility that one requirement contributes to multiple use cases. The approach utilizes semi-supervised requirements graph generation with subsequent overlapping graph clustering. Each identified use case is described by keyphrases to increase accessibility for the user. Industrial requirement sets from the automotive industry are used to evaluate the pipeline in two application scenarios. The proposed pipeline overcomes limitations of prior work in the practical application, which is emphasized by critical discussions with experts from the industry. The proposed pipeline automatically generates proposals for use cases defined in the requirement set, forming the basis for use case diagrams. ? The Author(s), 2025. Published by Cambridge University Press.",MBSE; NLP; Overlapping Graph Clustering; Requirements Engineering; Use Case Identification,"S. Schleifer; Engineering Design, Friedrich-Alexander-Universit?t Erlangen-N¨¹rnberg, Erlangen, Germany; email: schleifer@mfk.fau.de",Germany,Cambridge University Press,Article,Scopus,ML+NLP,Data-driven,Representation and embedding,Requirement analysis and management,Requirements Organization,Requirements classification,Vehicle
"Lubos, S.; Felfernig, A.; Garber, D.; Le, V.-M.; Henrich, M.; Willfort, R.; Dukic, I.",InteractiveReq: Enhancing Software Requirement Specification with Critiquing-based Recommender Systems,2025,"ACM Conference on User Modeling, Adaptation and Personalization","Specifying user stories and epics for feature requirements in agile software development is essential but time-consuming, demanding significant stakeholder effort. To improve this situation, we introduce InteractiveReq, an interactive critiquing-based recommender system that simplifies the generation of high-quality requirements. By using Large Language Models (LLMs), InteractiveReq enables an iterative process where stakeholders refine feature requirements through interactive feedback, addressing the issue of incomplete initial specifications. The system recommends custom drafts of epics and user stories based on the project context and an initial feature description, which users can refine through natural language critiques until their needs are satisfied. This approach aims to reduce workload and offers an intuitive method for requirement management. Preliminary results indicate that InteractiveReq effectively supports the creation of complete and accurate specifications. ? 2025 held by the owner/author(s).",critiquing-based recommender systems; interactive recommendation; LLM; requirements engineering; user stories,"S. Lubos; Graz University of Technology, Graz, Austria; email: sebastian.lubos@tugraz.at",Austria,Association for Computing Machinery,Conference paper,Scopus,LLM,Generative AI,Content generation,Requirement analysis and management,Requirements Representation,Requirements specification,Software
"Arianna, N.; Riccardo, R.; Gabriele, P.; Giulio, R.",From Unstructured Documents to Annotated Information: An Optimized Pipeline to Process Industrial Requirements,2025,International Conference on Natural Language Processing and Information Retrieval,"Managing bid documentation in large, evolving technology companies is inherently complex, often due to inconsistencies in information such as translations, file updates, and manual data extraction. These processes involve multiple departments, including software, hardware, products, infrastructure, materials, and regulations, requiring collaboration across geographically distributed teams with different native languages. This complexity is exacerbated by the need to trace requirements from bid offers to code and product development, and to perform similarity analysis when needed. Unstructured information comes from diverse sources like scans and/or editable texts with tables and images, written in various languages and using domain-specific terminology. Manual processing is error-prone, and translating data can lead to the loss of context-specific meanings or issues in safety-critical domains. This study combines Natural Language Processing (NLP) and Optical Character Recognition (OCR) to classify data into ""information""or ""requirement""while preserving multilingualism. A dual-pipeline approach is developed, featuring both a meta-classifier (an ensemble of Logistic Regression, Support Vector Machine, Multinomial Naive Bayes, and Random Forest) for robust and interpretable results, and a BERT model for capturing subtle linguistic patterns. The proposed pipeline is validated using a real-world case study in railway requirement annotation. Additionally, to demonstrate the methodology's flexibility, a second case study is conducted on topic classification of newspaper articles using publicly accessible data. The pipeline's output is a software solution that uses pre-trained models tailored to the respective domains. Future developments will include the creation of a graphical user interface (GUI), enabling distributed users to easily and efficiently search, update their requirements, and extract custom PDFs processed with translator and OCR. ? 2024 Copyright held by the owner/author(s).",Multilingual Requirement Classification; NLP; Railway Requirement Management; Tender Unstructured Documentation,"N. Arianna; Department of Information Engineering, University of Pisa, Pisa, Italy; email: arianna.nocente@phd.unipi.it",Italy,Association for Computing Machinery,Conference paper,Scopus,CV+ML+NLP,Data-driven,Classification and prediction,Requirement analysis and management,Requirements Organization,Requirements classification,Other£¨Rails£©
"Mendes de Oliveira, A.H.; Reis, P.A.; Anuncia??o, G.; Vin¨ªcius Carlos de Lima, J.; Sarracini J¨²nior, F.; Garcia, M.E.",Model-Driven Systems Engineering Automation with Artificial Intelligence for Robustly Writing Automotive System Requirements,2025,SAE Technical Papers,"The intensive use of software applications in modern vehicles has highlighted the critical role of Systems Engineering (SE) in the automotive industry. These ""computers on wheels""are thoroughly interconnected, by their own connections and with the cloud, due to the advancement of Electronic Control Units (ECU) technologies and the widespread use of sensors transmitting real-time data. This interconnectedness and the level of software abstraction that are known today, significantly escalates the complexity of these systems. This has made it necessary to adopt an approach that is flexible to change, structured, agile, and traceable. The modern approach to SE, now model-based, offers numerous advantages over the previous paradigm, which was predominantly document-based. MBSE (Model-Based Systems Engineering) emerges as a contemporary approach, providing the scalability needed for engineering teams to develop robust products. Its ""model-based""essence ensures that the model acts as the primary source of truth, providing a comprehensive overview of the system. In addition, this strategy allows an atomic decomposition of the system into functions, enabled by SysML (Systems Modeling Language), which facilitates collaborative engineering and encompasses the complexity of modern systems, serving as a basis for its development. During the system development process, it is essential to clearly specify system constraints, customer needs, and sensor/ECU behavior through well-written, unambiguous requirements to avoid system failures or poor implementations. Crafting well-defined requirements is challenging, particularly for complex systems with numerous connections, making the task repetitive and prone to human error. This work presents an AI-based framework for automated requirements generation from state machine diagrams. By leveraging the states and transitions contained within the diagrams, it ensures requirements completeness by systematically translating diagram elements into corresponding requirement statements. Furthermore, this framework proposes the integration of EARS (Easy Approach to Requirement Syntax) templates with Natural Language Processing (NLP) techniques to ensure requirements standardization and improve process efficiency by automating requirements writing. ? 2025 Ford Motor Company.",\,"Ford Motor Company, United States",United States,SAE International,Conference paper,Scopus,NLP,Data-driven,Model-to-text requirement generation,Requirement analysis and management,Requirements Creation,Requirements derivation,Vehicle
"Wang, L.; Wang, M.-C.; Zhang, Y.-R.; Ma, J.; Shao, H.-Y.; Chang, Z.-X.",Automated Identification and Representation of System Requirements Based on Large Language Models and Knowledge Graphs,2025,Applied Sciences,"In the product design and manufacturing process, the effective management and representation of system requirements (SRs) are crucial for ensuring product quality and consistency. However, current methods are hindered by document ambiguity, weak requirement interdependencies, and limited semantic expressiveness in model-based systems engineering. To address these challenges, this paper proposes a prompt-driven integrated framework that synergizes large language models (LLMs) and knowledge graphs (KGs) to automate the visualization of SR text and structured knowledge extraction. Specifically, this paper introduces a template for information extraction tailored to arbitrary requirement documents, designed around five SysML-defined SR categories: functional requirements, interface requirements, performance requirements, physical requirements, and design constraints. By defining structured elements for each category and leveraging the GPT-4 model to extract key information from unstructured texts, the system can effectively extract and present the structured requirement information. Furthermore, the system constructs a knowledge graph to represent system requirements, visually illustrating the interdependencies and constraints between them. A case study applying this approach to Chapters 18¨C22 of the ¡®Code for Design of Metro¡¯ demonstrates the effectiveness of the proposed method in automating requirement representation, enhancing requirement traceability, and improving management. Moreover, a comparison of information extraction accuracy between GPT-4, GPT-3.5-turbo, BERT, and RoBERTa using the same dataset reveals that GPT-4 achieves an overall extraction accuracy of 84.76% compared to 79.05% for GPT-3.5-turbo and 59.05% for both BERT and RoBERTa. This proves the effectiveness of the proposed method in information extraction and provides a new technical pathway for intelligent requirement management. ? 2025 by the authors.",information extraction; knowledge graphs; LLM; requirement representation,"L. Wang; Key Laboratory of Mechanism Theory and Equipment Design of Ministry and of Education, Tianjin University, Tianjin, 300350, China; email: tjuwl@tju.edu.cn; H.-Y. Shao; Key Laboratory of Mechanism Theory and Equipment Design of Ministry and of Education, Tianjin University, Tianjin, 300350, China; email: shaohongyu@tju.edu.cn",China,MDPI,Article,Scopus,KG+LLM+NLP,Knowledge-driven,Knowledge formalization,Requirement analysis and management,Requirements Creation,Requirements extraction,Other£¨Rails£©
"Zhao, F.; Xiang, Z.",Automatic Knowledge Graph Feature Construction for Software Requirement Documents,2025,International Joint Conference on Robotics and Artificial Intelligence,"Software requirements documentation is usually written in descriptive text and it is conducive to converting unstructured requirements documents into knowledge graphs for requirement management and reuse. However, there are certain challenges in the automatic construction of knowledge graphs for software requirements documents because there are various generalized entities and entity relationships in the documents, and entity relationship extraction cannot be performed through existing knowledge bases or predefined relationship types. This paper proposes a method to construct knowledge graph for software requirements documents automatically. Based on the characteristics of the requirement text, a new sequence labeling scheme and a BERT-BIGRU sequence labeling model are proposed. The BERT-BIGRU model is used to recognize requirement entities and extract entity relationship jointly, which can be used to construct a knowledge graph. The experimental results show that the proposed method can effectively realize the automatic construction of software requirement knowledge graph. ? 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.",entity relation extraction; knowledge graph; sequence labeling; software requirements,"F. Zhao; Shanghai Publishing and Printing College, Shanghai, China; email: zhaofengyv@usst.edu.cn",China,Association for Computing Machinery,Conference paper,Scopus,DL+NLP,Data-driven,Information extraction and structuring,Requirement analysis and management,Requirements Representation,Requirements modeling,Software
"Izhar, R.; Bhatti, S.N.; Alharthi, S.A.",An NLP-Enabled Approach to Semantic Grouping for Improved Requirements Modularity and Traceability,2025,International Journal of Advanced Computer Science and Applications,"The escalating complexity of modern software systems has rendered the management of requirements increasingly arduous, often plagued by redundancy, inconsistency, and inefficiency. Traditional manual methods prove inadequate for addressing the intricacies of dynamic, large-scale datasets. In response, this research introduces SQUIRE (Semantic Quick Requirements Engineering), a cutting-edge automated framework leveraging advanced Natural Language Processing (NLP) techniques, specifically Sentence-BERT (SBERT) embeddings and hierarchical clustering, to semantically organize requirements into coherent functional clusters. SQUIRE is meticulously designed to enhance modularity, mitigate redundancy, and strengthen traceability within requirements engineering processes. Its efficacy is rigorously validated using real-world datasets from diverse domains, including attendance management, e-commerce systems, and school operations. Empirical evaluations reveal that SQUIRE outperforms conventional clustering methods, demonstrating superior intra-cluster cohesion and inter-cluster separation, while significantly reducing manual intervention. This research establishes SQUIRE as a scalable and domain-agnostic solution, effectively addressing the evolving complexities of contemporary software development. By streamlining requirements management and enabling software teams to focus on strategic initiatives, SQUIRE advances the state of NLP-driven methodologies in Requirements Engineering, offering a robust foundation for future innovations. ? (2025), (Science and Information Organization). All Rights Reserved.",NLP; Requirements Engineering; semantic clustering; sentence-BERT,"Faculty of Engineering, Chiang Mai University, Chiang Mai, Thailand",Thailand,Science and Information Organization,Article,Scopus,ML+NLP,Data-driven,Representation and embedding,Requirement analysis and management,Requirements Organization,Requirements classification,Software
"Nema, J.","AN LLM-POWERED PIPELINE FOR AUTOMATED EXTRACTION, ANALYSIS, AND VALIDATION OF REQUIREMENTS IN SYSTEMS ENGINEERING",2025,International Mechanical Engineering Congress and Exposition-India. American Society of Mechanical Engineers,"This research paper discusses the development and capabilities of an LLM-powered pipeline for engineering requirements validation. The pipeline tests each requirement for completeness, missing information, and testability. Requirements that pass these tests are further checked for inconsistency and conflict. Cleaned requirements are then categorized and converted into SysML graph objects using Gaphor, with support for SysML 1.6 and Python 3.13.2. The pipeline uses RAG to connect external schemas, performs topic modeling to discover stakeholder priorities, and extracts requirements from MME transcripts. Preliminary results show promise in identifying missing information and inconsistencies. This work may be of help in integrating LLMs into requirements engineering processes. ? ? 2025 by ASME.",LLM; Named Entity Recognition; Requirements Engineering; Retrieval Augmented Generation; Sentiment Analysis; Systems Engineering; Topic Modelling,"Aerospace Division, Eaton India Innovation Center, Eaton, Pune, 411028, India",India,American Society of Mechanical Engineers (ASME),Conference paper,Scopus,LLM+NLP,Generative AI,Semantic reasoning and consistency analysis,Requirement analysis and management,Requirements Creation,Requirements extraction,Product
"Gudder, R.; Hoffmann, D.; Hunecke, P.; L¨¹der, A.",LLM-Driven Requirements Formalization for Model-Driven Manufacturing Systems,2025,IEEE International Conference on Emerging Technologies and Factory Automation,"Model-Based Systems Engineering (MBSE) relies on precise, unambiguous requirements; however, stakeholders often express needs in free-form natural language, leading to ambiguity and rework. This paper introduces an AI assistant powered by a Large Language Model (LLM) to support the formalization of such requirements. Guided by writing rules from industry standards such as INCOSE and IREB, the assistant identifies ambiguities, classifies requirement types, and rewrites them into consistent, standards-compliant statements. The structured requirements are serialized into SysML v2 using the Kernel Modeling Language (KerML), enabling seamless integration into MBSE workflows. A lightweight Streamlit interface allows users to upload, review, and export refined requirements. The approach is demonstrated through a practical case study, where requirements from educators and engineers are processed using the AI assistant. This work illustrates how LLM can enhance the front end of MBSE by bridging the gap between informal stakeholder input and formalized system specifications. ? 2025 IEEE.",LLM; Production Systems Engineering; Requirements Engineering; SysML v2,"R. Gudder; Otto-von-Guericke University, Faculty of Mechanical Engineering, Ieps, Magdeburg, Germany; email: ranjitkumar.gudder@ovgu.de",Germany,IEEE,Conference paper,Scopus,LLM,Generative AI,Semantic reasoning and consistency analysis,Requirement analysis and management,Requirements Creation,Requirements extraction,Industry
"Maestro Redondo, P.; Garcia, G.; Riccardi, A.; Darm, P.; Jim¨¦nez Eguizabal, J.B.; Th¨¦ate, A.; Geren¨¦, S.; Gonzalez Fernandez, A.; Kolfschoten, G.",Implementation of an AI-powered digital assistant to support space system engineering activities,2025,CEAS Space Journal,"This paper discusses innovative approaches to model-based systems engineering (MBSE) in the context of the space industry by presenting the results of a digital assistant that implements artificial intelligence to support the automation of systems engineering tasks. The design of complex engineering systems requires an exhaustive and continuous verification and validation process at each stage of the mission lifecycle. While at the early phases of a project the system design might not yet include a high level of detail, it is still necessary to ensure that it meets the mission requirements. Even if the design data are recorded using MBSE tools, these do not usually offer integrated verification capabilities to cross check the design against the requirements. This paper explores Natural Language Processing techniques to address advancements, limitations, and customization of MBSE approaches in space. The application scenarios are mainly focused on learning from past mission data to identify potential links between requirements and model artefacts, and to detect inconsistencies in the models also making use of Large Language Models. ? The Author(s), under exclusive licence to Council of European Aerospace Societies 2025.",Digital assistant; MBSE; NLP; Requirements,"P. Maestro Redondo; Starion Group, Leiden, Schuttersveld 2, 2316ZA, Netherlands; email: pm.redondo@stariongroup.eu",Netherlands,Springer,Article,Scopus,LLM,Generative AI,Semantic reasoning and consistency analysis,Requirement analysis and management,Requirements Analysis,Requirements consistency verification,Aerospace£¨Spacecraft£©
"Mejdoul, Z.; Lortal, G.; Lamolle, M.",Toward an Ontology-Based Framework for Textual System Requirements Extraction and Analysis,2025,International Conference on Enterprise Information Systems,"This paper introduces the context, objectives and expectations of an ontology-driven framework designed to support engineers in the analysis of textual system requirements. The primary goals are twofold: (i) to keep the System Engineering-(SE) formal processes that satisfy industrial constraints, and (ii) to provide a semantic representation of textual requirements, enabling consistent semantic analysis through the logical properties of ontologies. Formalization and semantic analysis of system requirements provide early evidence of adequate specification, for reducing the validation tasks and high-cost corrective measures during later system development phases. Integrating ontologies into the SE process enhances system engineers¡¯ ability to understand and manage requirements, leading to a smoother design and more accurate operation. ? ? 2025 by Paper published under CC license (CC BY-NC-ND 4.0)",Knowledge Extraction; MBSE; NLP; Ontology Modelling; System Requirements,"Thales, cortAIx Labs, France",France,SciTePress,Conference paper,Scopus,NLP+Ontology,Knowledge-driven,Knowledge formalization,Requirement analysis and management,Requirements Creation,Requirements extraction,Software
