Author,Title,Year,Source title,Citation count,Abstract,Indexed keywords,Correspondence address,Publisher,document type,Source,Duplicate records,Full text unavailable,Inconsistent terminologies,Non-research papers,Not related to MBSE,No AI technologies,MBSE is not augmented by AI,Theoretical studies
Dinuzzi G.; Balestra A.; Santoli F.; Mazzei F.; Alvarez J.L.; Gorius N.; Chinellato S.; Auricchio N.; Pagano I.; Calderone F.; Arena C.; Nicolini G.; Cogato F.; Cherchi G.; Aboudan A.; Borsa F.; Brienza D.; Magrin D.; Focardi M.; Noce V.,MBSE in the context of PLATO Camera System development,2024,Proceedings of SPIE - The International Society for Optical Engineering,1,"In the context of PLATO Camera Subsystem development, it has been decided to take advantage of MBSE methodologies using Enterprise Architect by Sparx Systems as tool. A Local SysML Camera model for PLATO mission1 has been built from different Excel spreadsheets, i.e. Verification Control Matrices, released by Subsystems. Same approach has been used for the Camera-System itself. The complete flow-down of requirements has been created in order to easily identify and monitor any impact on the design due to changes, deviations and non-compliances. The model can be updated at any time importing Excel spreadsheet while it can be used as source to export documentation needed during formal reviews, both as Word and Excel files. In addition, Model architecture and constraints have been created through Block Definition Diagram and Internal Block Diagram so that structure, interfaces as well as interaction between different items, can be easily identified and monitored at both System and Subsystem level. ? 2024 SPIE.",Artificial intelligence; Photons; Requirements engineering; Verification; Camera model; Camera systems; Control matrix; Enterprise architects; Excel spreadsheets; Model-based system engineerings; Non-compliance; PLATO; Requirements modeling; System development; Spreadsheets,"G. Dinuzzi; INAF, IAPS, Italy; email: giacomo.dinuzzi@inaf.it; A. Balestra; INAF, Osservatorio Astronomico di Padova, Italy; email: andrea.balestra@inaf.it",SPIE,Conference paper,Scopus,,,,,,1,,
Alarcia R.M.G.; Russo P.; Renga A.; Golkar A.,Bringing Systems Engineering Models to Large Language Models: An Integration of OPM with an LLM for Design Assistants,2024,International Conference on Model-Driven Engineering and Software Development,1,"Although showing remarkable zero-shot and few-shot capabilities across a wide variety of tasks, Large Language Models (LLMs) are still not mature enough for off-the-shelf use in engineering design tasks. Organizations implementing model-based systems engineering practices into their product development processes can leverage on ontologies, models, and procedures to enhance LLMs applied to engineering design tasks. We present a methodology to integrate an Object-Process Methodology model of a space system into an LLMbased spacecraft design assistant and show a performance improvement, as compared to a conventional LLM. The benchmark is evaluated through subjective expert-assessed and an objective cosine-similarity-based criteria. The results motivate additional efforts in integrating Model-Based Systems Engineering practice into LLMs as means to improve their performance and reduce shortcomings such as hallucinations and black-box, untraceable behavior. ? 2024 by SCITEPRESS 每 Science and Technology Publications, Lda.",\,,"Science and Technology Publications, Lda",Conference paper,Scopus,,,,,,,,
Mullis J.; Chen C.; Morkos B.; Ferguson S.,Deep Neural Networks in Natural Language Processing for Classifying Requirements by Origin and Functionality: An Application of BERT in System Requirements,2024,Journal of Mechanical Design,4,"Given the foundational role of system requirements in design projects, designers can benefit from classifying, comparing, and observing connections between requirements. Manually undertaking these processes, however, can be laborious and time-consuming. Previous studies have employed Bidirectional Encoder Representations from Transformers (BERT), a state-of-the-art natural language processing (NLP) deep neural network model, to automatically analyze written requirements. Yet, it remains unclear whether BERT can sufficiently capture the nuances that differentiate requirements between and within design documents. This work evaluates BERT's performance on two requirement classification tasks (one inter- document and one intra-document) executed on a corpus of 1,303 requirements sourced from five system design projects. First, in the ""parent document classification""task, a BERT model is fine-tuned to classify requirements according to their originating project. A separate BERT model is then fine-tuned on a ""functional classification""task where each requirement is classified as either functional or nonfunctional. Our results also include a comparison with a baseline model, Word2Vec, and demonstrate that our model achieves higher classification accuracy. When evaluated on test sets, the former model receives a Matthews correlation coefficient (MCC) of 0.95, while the latter receives an MCC of 0.82, indicating BERT's ability to reliably distinguish requirements. This work then explores the application of BERT's representations, known as embeddings, to identify similar requirements and predict requirement change.  ? 2023 by ASME.",Computer aided design; Information retrieval systems; Natural language processing systems; Neural network models; Requirements engineering; Bidirectional encoder representation from transformer; Classification tasks; Design automations; Design programs; Language processing; Natural language processing; Natural languages; Requirement management; Requirements classifications; System requirements; Deep neural networks,"B. Morkos; College of Engineering, University of Georgia, 302 East Campus Road, Athens, 30602, United States; email: bmorkos@uga.edu",American Society of Mechanical Engineers (ASME),Article,Scopus,,,,,,,,
Paredis R.; Vangheluwe H.,Modelling and Simulation-Based Evaluation of Twinning Architectures and Their Deployment,2024,"Proceedings of the International Conference on Simulation and Modeling Methodologies, Technologies and Applications",0,"The Twinning paradigm 每subsuming Digital Models, Digital Shadows and Digital Twins每 is a powerful enabler for analyzing, verifying, deploying and maintaining complex Cyber-Physical Systems (CPSs). Throughout the (currently quite ad-hoc) creation of such systems, a plethora of choices impacts the functionality and performance of the realized Twinning system comprised of the actual system under study and its twin. The choices that are made have a high impact on the required investment when creating the twin, most notably on the development time and deployment cost. This is especially true when multiple iterations are needed to find the most appropriate level(s) of abstraction and detail, architecture, technologies and tools. As a core contribution, this work follows a Model-Based Systems Engineering methodology: before realizing a Twinning architecture, Discrete EVent system Specification (DEVS) models for deployed architecture alternatives are constructed and simulated, to evaluate their suitability. A simple use-case of a ship moving in one dimension is used as a running example. ? 2024 by SCITEPRESS 每 Science and Technology Publications, Lda.",\,,"Science and Technology Publications, Lda",Conference paper,Scopus,,,,,,,1,
Bork D.; David I.; Espa?a S.; Guizzardi G.; Proper H.A.; Reinhartz-Berger I.,The Role of Modeling in the Analysis and Design of Sustainable Systems: A Panel Report,2024,Communications of the Association for Information Systems,0,"Sustainability should become a key concern in the next generation of engineered systems. While this expectation is relatively straightforward, the question of how to get there is less obvious. The multi-dimensional and intricate nature of sustainability poses challenges in designing sustainable systems and analyzing sustainability properties. Finding trade-offs between economic, environmental, societal, and technological aspects of sustainability is a wicked problem and calls for advanced modeling and simulation methods. In this paper, we report on a panel discussion held at the 28th Working Conference on Exploring Modeling Methods for Systems Analysis and Development (EMMSAD) with four esteemed experts representing four complementary and often conflicting perspectives on the role of modeling for sustainability 每 stakeholders, digitalization, degrowth and IT, and ethics. We report the key arguments of the panelists, discuss the roles of modeling in the analysis and design of sustainable systems, and, finally, elaborate on the conflicts among the perspectives, their effects, and potential resolutions. ? 2024 by the Association for Information Systems.",Economic and social effects; Information systems; Information use; Philosophical aspects; Systems analysis; Circular system engineering; Degrowth; Degrowth and IT; Digitalization; Information system engineerings; Model-based system engineerings; Model-driven Engineering; Modeling; Panel report; Sustainable systems; Sustainable development,,Association for Information Systems,Article,Scopus,,,,1,,,,
Bader E.; Vereno D.; Neureiter C.,Facilitating User-Centric Model-Based Systems Engineering Using Generative AI,2024,International Conference on Model-Driven Engineering and Software Development,0,"The increasing complexity of cyber-physical systems requires model-based systems engineering (MBSE) in an effort to sustain a comprehensive oversight. However, broader adaptation of these models requires specialized knowledge and training. In order to make this process more user-friendly, the concept of user-centric systems engineering emerged. Artificial intelligence (AI) could help users overcome beginner hurdles and leverage their contribution quality. This research investigates the feasibility of a large language model in the systems engineering context, with a particular emphasis on the identification of potential obstacles for similar tasks. Therefore, a GPT model is trained on a dataset consisting of UML component diagram elements. In conclusion, the promising results of this research justify utilizing AI in MBSE. Complex relationships between the UML elements were not only understood, they were also generated using natural-language text. Problems arise from the extensive nature of the XMI, the context limitation and the unique identifiers of the UML elements. The fine-tuning process enabled the LLM to gain valuable insights into UML modeling while transferring their base knowledge, which is a promising step toward reducing complexity in MBSE. ? 2024 by SCITEPRESS 每 Science and Technology Publications, Lda.",\,,"Science and Technology Publications, Lda",Conference paper,Scopus,,,,,,,,
J迆nior F.S.; Reis P.A.; Cavalcante M.S.; De Oliveira A.H.M.,Systems Engineering Process Enhancement: Requirements Verification Methodology using Natural Language Processing (NLP) for Automotive Industry,2024,SAE Technical Papers,0,"More sophisticated vehicle features to improve user experience and safety in the Automotive Industry applications have significantly increased the number of Electronic Control Units (ECUs) over the years. These changes were followed by the increased complexity in technical solutions for Embedded Software and interfaces among the ECUs. In this context, Systems Engineering (SE) plays a key role to achieve robustness on definition and implementation of complex systems. The overall system is broken down into lower functions associated to a specific use case, considering user's input and the expected outputs, in three different abstraction levels - Concept, Logic and Technology. Those functions are described with structure and behavior diagrams and requirements using SysML (Systems Modelling Language), which enables the entire system simulation and validation before being cascaded to ECUs Software implementation team during the Product Development process through Model-Based Systems Engineering (MBSE) tools. On this scope, the requirements have a vital role inside Systems Engineering methodology because it is the statement which defines the system required functionalities, performance, constraints, and other characteristics that satisfy stakeholders and costumers needs. The SysML diagrams are built based on the defined system requirements and many times this is a very iterative process, time-consuming and error-prone task until satisfying every required function logic and conditions. When the requirements are poorly defined, these can lead to project failure. Therefore, requirements must be unambiguous, verifiable, and traceable through Systems Engineering lifecycle. By using Easy Approach to Requirements Syntax (EARS) template, Systems Engineers have specific words to standardize the requirements, accomplishing with EARS requests such as ""When,""""While,""""Where,""""If""to mention the stimulus or pre-conditions, ""Then""to call the function/product and ""shall""representing the action to be taken. In addition, by using the rules proposed by the International Council on Systems Engineering (INCOSE), Systems Engineers can improve the robustness of the requirement by avoiding, for example, words that may be misinterpreted during the system modeling and development process. In this context, Natural Language Processing (NLP) can be used to improve process flow by automating requirement verification. NLP techniques will be responsible for mapping and processing the text data in the system requirements based on actions, preconditions, functions, and triggers to improve the quality and robustness of the developed requirements. By Applying NLP algorithms, this paper aims to consolidate a more robust methodology to verify the system requirements, based on EARS template and INCOSE rules, prior to SysML diagrams development, which improves the final overall system implementation to satisfy the stakeholders and customer needs.  ? 2021 SAE International.",Automotive industry; Computer circuits; Computer software; Control systems; Data handling; Iterative methods; Life cycle; Natural language processing systems; Requirements engineering; Condition; Electronics control unit; Language processing; Natural languages; Process enhancements; Requirement verifications; System engineering process; System engineers; System models; System requirements; Modeling languages,,SAE International,Conference paper,Scopus,,,,,,,,
Khurana S.; Dev A.; Bansal P.,"ADAM optimised human speech emotion recogniser based on statistical information distribution of chroma, MFCC, and MBSE features",2024,Multimedia Tools and Applications,1,"The textual or display-based control paradigm in human每computer interaction (HCI) has changed in favor of more natural control modalities like voice and gesture. Speech, in particular, contains a significant deal of information, revealing the speaker's inner state and intention. While word analysis makes understanding the speaker's request possible, other speech aspects reveal the speaker's attitude, goal, and motivation. As a result, it is now crucial for modern human每computer interface systems to recognize emotions from speech. Numerous techniques for sound analysis have been created in the past. This work aims to detect human emotions from their voice snippet; for this, an English language open source dataset Ryerson Audio-Visual Database of Emotional Speech and Song (RAVDESS) and Hindi-language dataset IITKGP-SEHSC are used. RAVDESS contains over 2000 voice samples recorded by 24 actors covering eight emotions: anger, fear, neutral, calmness, happiness, sadness, disgust, and surprise. The proposed model uses ADAM optimized deep learning model along with MFCC, chroma, and Mel band spectral energy features (MBSE) to classify and recognize eight different human vocal emotions. A multilayer perceptron (MLP) classifier is used for classification. The efficiency of the proposed model was compared to another state of the art, and the outcomes were assessed. Using the proposed structure of the model on the RAVDESS and IITKGP-SEHSC datasets, an overall accuracy of 85.19% and 80%, respectively, were achieved. ? The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Deep learning; Human computer interaction; Multilayer neural networks; Multilayers; Speech recognition; Visual languages; ADAM optimizer; Audio-visual database; Chroma; Deep learning; Emotional speech; Energy feature; Hindi dataset; IITKGP-SEHSC; Mel band spectral energy feature; MFCC; Multilayers perceptrons; Optimizers; Ryerson audio-visual database of emotional speech and song; Spectral energy; Speech emotion recognition; Emotion Recognition,"S. Khurana; Department of Information Technology, Indira Gandhi Delhi Technical University for Women, New Delhi, Kashmere Gate, Delhi, 110006, India; email: surbhi001phd20@igdtuw.ac.in",Springer,Article,Scopus,,,1,,,,,
Zhang J.; Yang S.,Recommendations for the Model-Based Systems Engineering Modeling Process Based on the SysML Model and Domain Knowledge,2024,Applied Sciences (Switzerland),0,"Model-based systems engineering (MBSE) is a modeling approach used in industry to support the formalization, analysis, design, checking and verification of systems. In MBSE modeling, domain knowledge is the basis of the modeling. However, modeling does not happen overnight; it requires systematic training and a significant investment of resources. Unfortunately, many domain experts lack the expertise required for modeling, even though they know the domain well. The question arises about how to provide system modelers with domain knowledge at the right time to support the efficient completion of modeling. Since MBSE research that integrates AI is just beginning to take off, no public dataset is available. In this paper, aerospace SysML models are constructed based on spacecraft-related domain knowledge to form SysML model data. The validation rules are studied to validate the SysML model data, and combined with the concept of the recommended system, a recommendation method for the MBSE modeling process based on the knowledge and SysML model is proposed. A GLOVE language model is pre-trained by using domain knowledge and general knowledge; the model data are also used to fine-tune the GLOVE language model combined with the pre-training to recommend some domain development processes. The recommendation list is manually quality-verified and fed into the pre-training phase, while new requirement texts are continuously added in the fine-tuning phase, resulting in a more relevant and accurate recommendation list. Experiments show that the incremental recommender system can not only effectively recommend SysML models, but also improve the quality and efficiency of MBSE development. ? 2024 by the authors.",\,"S. Yang; College of Electronic and Electrical Engineering, Shanghai University of Engineering Science, Shanghai, 201620, China; email: shqyang@sues.edu.cn",Multidisciplinary Digital Publishing Institute (MDPI),Article,Scopus,,,,,,,,
Rebelo Moreira J.L.,The Role of Interoperability for Digital Twins,2024,Lecture Notes in Business Information Processing,2,"The concept of Digital Twin (DT) has gained popularity as a digital representation of physical entities that interact with their real-world counterparts in (near) real-time through sensors and actuators. DTs can be applied across different sectors, offering benefits like simulation, remote monitoring, and predictive maintenance, which are relevant capabilities of smart systems. However, achieving the full potential of DTs requires addressing interoperability challenges posed by the complex networks of devices and systems that play different roles in DTs. This paper presents a research agenda aimed at enhancing DT interoperability grounded in four perspectives, which reflect knowledge fields in computer/information science, i.e., architecture of distributed systems, model-based system engineering, ontology-driven conceptual modeling, and linked data with semantic web. This paper highlights how leveraging on existing standards, such as modelling languages and ontologies, is important for improved DT interoperability. This becomes increasingly relevant for driving research directions related to ongoing initiatives such as the International Data Spaces and the Digital Product Passport. ? The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",Complex networks; Distributed computer systems; Interoperability; Modeling languages; Devices and systems; Digital representations; Near-real time; Ontology's; Predictive maintenance; Real-world; Remote monitoring; Research agenda; Sensors and actuators; Smart System; Ontology,"J.L. Rebelo Moreira; University of Twente - Semantics, Cybersecurity & Services (SCS) group, AE Enschede, Enschede, 7500, Netherlands; email: j.luizrebelomoreira@utwente.nl",Springer Science and Business Media Deutschland GmbH,Conference paper,Scopus,,,,,,,1,
